gameId,actionNumber,clock,period,teamId,teamTricode,personId,playerName,playerNameI,xLegacy,yLegacy,shotDistance,shotResult,isFieldGoal,scoreHome,scoreAway,pointsTotal,location,description,actionType,subType,videoAvailable,shotValue,actionId
0021701218,179,PT09M55.00S,2,1610612747,LAL,203898,Ennis,T. Ennis,0,0,0,,0,,,0,h,Ennis REBOUND (Off:0 Def:1),Rebound,Unknown,1,0,140
0021701218,180,PT09M47.00S,2,1610612747,LAL,201281,Ingram,A. Ingram,105,236,26,Made,1,24,26,50,h,Ingram 26' 3PT Jump Shot (8 PTS) (Frye 1 AST),Made Shot,Jump Shot,1,3,141
0021701218,182,PT09M32.00S,2,1610612745,HOU,101108,Paul,C. Paul,-35,104,11,Missed,1,,,0,v,MISS Paul 11' Jump Shot,Missed Shot,Jump Shot,1,2,142
0021701218,183,PT09M30.00S,2,1610612747,LAL,1628418,Bryant,T. Bryant,0,0,0,,0,,,0,h,Bryant REBOUND (Off:0 Def:1),Rebound,Unknown,1,0,143
0021701218,184,PT09M20.00S,2,1610612747,LAL,204037,Wear,T. Wear,159,219,27,Made,1,27,26,53,h,Wear 27' 3PT Jump Bank Shot (3 PTS) (Frye 2 AST),Made Shot,Jump Bank Shot,1,3,144
0021701218,186,PT09M01.00S,2,1610612745,HOU,2403,Hilario,Nene,2,26,3,Made,1,27,28,55,v,Nene 3' Cutting Layup Shot (2 PTS) (Paul 2 AST),Made Shot,Cutting Layup Shot,1,2,145
0021701218,188,PT08M37.00S,2,1610612747,LAL,101112,Frye,C. Frye,154,122,20,Missed,1,,,0,h,MISS Frye 20' Turnaround Fadeaway Shot,Missed Shot,Turnaround Fadeaway shot,1,2,146
0021701218,189,PT08M33.00S,2,1610612745,HOU,101108,Paul,C. Paul,0,0,0,,0,,,0,v,Paul REBOUND (Off:0 Def:1),Rebound,Unknown,1,0,147
0021701218,190,PT08M27.00S,2,1610612745,HOU,101108,Paul,C. Paul,-11,120,12,Made,1,27,30,57,v,Paul 12' Floating Jump Shot (8 PTS),Made Shot,Floating Jump shot,1,2,148
0021701218,191,PT08M05.00S,2,1610612747,LAL,203898,Ennis,T. Ennis,-8,24,3,Made,1,29,30,59,h,Ennis 3' Driving Layup (2 PTS),Made Shot,Driving Layup Shot,1,2,149
0021701218,192,PT07M53.00S,2,1610612745,HOU,101108,Paul,C. Paul,-92,41,10,Made,1,29,32,61,v,Paul 10' Jump Shot (10 PTS),Made Shot,Jump Shot,1,2,150
0021701218,193,PT07M44.00S,2,0,,1610612747,,,0,0,0,,0,,,0,h,LAKERS Timeout: Regular (Full 2 Short 0),Timeout,Regular,0,0,151
0021701218,194,PT07M44.00S,2,1610612745,HOU,201569,Gordon,E. Gordon,0,0,0,,0,,,0,v,SUB: Harden FOR Gordon,Substitution,,0,0,152
0021701218,195,PT07M44.00S,2,1610612745,HOU,2403,Hilario,Nene,0,0,0,,0,,,0,v,SUB: Capela FOR Nene,Substitution,,0,0,153
0021701218,198,PT07M41.00S,2,1610612747,LAL,1628418,Bryant,T. Bryant,0,0,0,,0,,,0,h,Bryant OFF.Foul (P1) (M.Davis),Foul,Offensive,1,0,154
0021701218,200,PT07M41.00S,2,1610612747,LAL,1628418,Bryant,T. Bryant,0,0,0,,0,,,0,h,Bryant Offensive Foul Turnover (P1.T7),Turnover,Offensive Foul Turnover,1,0,155
0021701218,201,PT07M29.00S,2,1610612745,HOU,101123,Green,G. Green,5,22,2,Missed,1,,,0,v,MISS Green 2' Cutting Layup Shot,Missed Shot,Cutting Layup Shot,1,2,156
0021701218,201,PT07M29.00S,2,1610612747,LAL,201281,Ingram,A. Ingram,0,0,0,,0,,,0,h,Ingram BLOCK (1 BLK),,,1,2,157
0021701218,203,PT07M26.00S,2,1610612747,LAL,204037,Wear,T. Wear,0,0,0,,0,,,0,h,Wear REBOUND (Off:0 Def:1),Rebound,Unknown,1,0,158
0021701218,204,PT07M22.00S,2,1610612747,LAL,201281,Ingram,A. Ingram,-93,95,13,Made,1,31,32,63,h,Ingram 13' Jump Shot (10 PTS) (Wear 2 AST),Made Shot,Jump Shot,1,2,159
0021701218,206,PT07M22.00S,2,1610612745,HOU,203991,Capela,C. Capela,0,0,0,,0,,,0,v,Capela S.FOUL (P2.T2) (B.Adams),Foul,Shooting,1,0,160
0021701218,208,PT07M22.00S,2,1610612747,LAL,201281,Ingram,A. Ingram,0,0,0,,0,32,32,64,h,Ingram Free Throw 1 of 1 (11 PTS),Free Throw,Free Throw 1 of 1,0,0,161
0021701218,209,PT07M09.00S,2,1610612745,HOU,201601,Mbah a Moute,L. Mbah a Moute,-5,22,2,Made,1,32,34,66,v,Mbah a Moute 2' Cutting Dunk Shot (2 PTS) (Harden 2 AST),Made Shot,Cutting Dunk Shot,1,2,162
0021701218,211,PT06M59.00S,2,1610612747,LAL,1628418,Bryant,T. Bryant,3,19,2,Missed,1,,,0,h,MISS Bryant 2' Running Alley Oop Dunk Shot,Missed Shot,Running Alley Oop Dunk Shot,1,2,163
0021701218,212,PT06M59.00S,2,1610612745,HOU,101123,Green,G. Green,0,0,0,,0,,,0,v,Green REBOUND (Off:0 Def:2),Rebound,Unknown,1,0,164
0021701218,213,PT06M59.00S,2,0,,1610612745,,,0,0,0,,0,,,0,v,Rockets Timeout: Regular (Reg.2 Short 0),Timeout,Regular,0,0,165
0021701218,214,PT06M59.00S,2,1610612747,LAL,101112,Frye,C. Frye,0,0,0,,0,,,0,h,SUB: Hart FOR Frye,Substitution,,0,0,166
0021701218,215,PT06M59.00S,2,1610612745,HOU,201601,Mbah a Moute,L. Mbah a Moute,0,0,0,,0,,,0,v,SUB: Ariza FOR Mbah a Moute,Substitution,,0,0,167
0021701218,218,PT06M46.00S,2,1610612745,HOU,203991,Capela,C. Capela,8,10,1,Missed,1,,,0,v,MISS Capela 1' Alley Oop Dunk,Missed Shot,Alley Oop Dunk Shot,1,2,168
0021701218,219,PT06M43.00S,2,1610612747,LAL,203898,Ennis,T. Ennis,0,0,0,,0,,,0,h,Ennis REBOUND (Off:0 Def:2),Rebound,Unknown,1,0,169
0021701218,220,PT06M40.00S,2,1610612747,LAL,1628404,Hart,J. Hart,132,225,26,Made,1,35,34,69,h,Hart 26' 3PT Running Pull-Up Jump Shot (3 PTS) (Ennis 2 AST),Made Shot,Running Pull-Up Jump Shot,1,3,170
0021701218,222,PT06M28.00S,2,1610612745,HOU,101123,Green,G. Green,-158,212,26,Made,1,35,37,72,v,Green 26' 3PT Jump Shot (6 PTS) (Harden 3 AST),Made Shot,Jump Shot,1,3,171
0021701218,224,PT06M14.00S,2,1610612745,HOU,101123,Green,G. Green,0,0,0,,0,,,0,v,Green P.FOUL (P1.T3) (M.Davis),Foul,Personal,1,0,172
0021701218,226,PT06M14.00S,2,1610612745,HOU,101108,Paul,C. Paul,0,0,0,,0,,,0,v,SUB: Gordon FOR Paul,Substitution,,0,0,173
